name,website,stage,focus_areas,location,check_size
Obvious Ventures,https://obvious.com,Seed Series A Series B,"Climate Sustainability Technology",San Francisco CA,
Lux Capital,https://www.luxcapital.com,Seed Series A Series B,"Deep Tech Science",New York NY,
Initialized Capital,https://initialized.com,Pre-Seed Seed,"Technology AI Consumer",San Francisco CA,
Craft Ventures,https://www.craftventures.com,Seed Series A,"SaaS Enterprise",San Francisco CA,
BoxGroup,https://www.boxgroup.com,Pre-Seed Seed,"Technology Consumer",New York NY,
Slow Ventures,https://slow.co,Seed Series A,"Consumer Technology",San Francisco CA,
Compound,https://withcompound.com,Seed Series A,"Fintech Infrastructure",San Francisco CA,
Precursor Ventures,https://precursorvc.com,Pre-Seed Seed,"Technology SaaS",San Francisco CA,
Hustle Fund,https://www.hustlefund.vc,Pre-Seed Seed,"Technology SaaS Consumer",San Francisco CA,
Backstage Capital,https://backstagecapital.com,Pre-Seed Seed,"Technology Diversity",Los Angeles CA,
Harlem Capital,https://www.harlemcapital.com,Seed Series A,"Technology Diversity",New York NY,
MaC Venture Capital,https://www.macventurecapital.com,Pre-Seed Seed Series A,"Technology Consumer",Los Angeles CA,
Kapor Capital,https://www.kaporcapital.com,Seed Series A,"Social Impact Technology",Oakland CA,
Crosslink Capital,https://www.crosslinkcapital.com,Seed Series A Series B,"Technology SaaS",San Francisco CA,
Storm Ventures,https://www.stormventures.com,Seed Series A,"Enterprise SaaS",Menlo Park CA,
Redpoint Ventures,https://www.redpoint.com,Seed Series A Series B,"Enterprise Infrastructure Consumer",Menlo Park CA,
Meritech Capital,https://www.meritechcapital.com,Series B Growth,"Technology SaaS",Palo Alto CA,
IVP,https://www.ivp.com,Series A Series B Growth,"Enterprise Consumer",Menlo Park CA,
Norwest Venture Partners,https://www.nvp.com,Seed Series A Series B,"Enterprise Healthcare Consumer",Palo Alto CA,
Sapphire Ventures,https://sapphireventures.com,Series A Series B Growth,"Enterprise SaaS",Palo Alto CA,
Scale Venture Partners,https://www.scalevp.com,Series A Series B,"SaaS Enterprise",Foster City CA,
August Capital,https://www.augustcap.com,Seed Series A,"Technology Consumer",San Francisco CA,
Trinity Ventures,https://trinityventures.com,Seed Series A,"SaaS Consumer Fintech",Menlo Park CA,
Shasta Ventures,https://shastaventures.com,Seed Series A,"SaaS Enterprise Consumer",San Francisco CA,
Canaan Partners,https://www.canaan.com,Seed Series A Series B,"Technology Healthcare Fintech",Menlo Park CA,
Floodgate,https://www.floodgate.com,Pre-Seed Seed,"Technology Consumer",Palo Alto CA,
Felicis Ventures,https://www.felicis.com,Seed Series A Series B,"Technology Consumer Enterprise",San Francisco CA,
Uncork Capital,https://uncorkcapital.com,Seed Series A,"SaaS Technology",Palo Alto CA,
Freestyle Capital,https://freestyle.vc,Pre-Seed Seed,"Technology Consumer SaaS",San Francisco CA,
Upfront Ventures,https://upfront.com,Seed Series A Series B,"Technology Consumer Enterprise",Los Angeles CA,
Greycroft,https://greycroft.com,Seed Series A Series B,"Consumer Technology",New York NY,
Primary Venture Partners,https://www.primaryvc.com,Seed Series A,"Technology Consumer",New York NY,
Bowery Capital,https://bowerycap.com,Seed Series A,"Enterprise SaaS B2B",New York NY,
Work-Bench,https://www.work-bench.com,Seed Series A,"Enterprise SaaS",New York NY,
Boldstart Ventures,https://boldstart.vc,Pre-Seed Seed,"Enterprise Developer Tools",New York NY,
Notation Capital,https://notation.vc,Pre-Seed Seed,"Technology Infrastructure",New York NY,
Collaborative Fund,https://www.collaborativefund.com,Seed Series A,"Consumer Climate Food",New York NY,
Lerer Hippeau,https://www.lererhippeau.com,Seed Series A,"Consumer Technology",New York NY,
RRE Ventures,https://www.rre.com,Seed Series A Series B,"Technology Enterprise",New York NY,
Flybridge Capital Partners,https://www.flybridge.com,Seed Series A,"Technology SaaS",Boston MA,
General Atlantic,https://www.generalatlantic.com,Growth,"Technology Healthcare Consumer Financial",New York NY,
Insight Partners,https://www.insightpartners.com,Series A Series B Growth,"Software Technology",New York NY,
Tiger Global Management,https://www.tigerglobal.com,Series A Growth,"Technology Consumer",New York NY,
Coatue Management,https://www.coatue.com,Series A Series B Growth,"Technology Consumer AI",New York NY,
D1 Capital Partners,https://www.d1cap.com,Growth,"Technology Consumer",New York NY,
Dragoneer Investment Group,https://www.dragoneer.com,Growth,"Technology Consumer Fintech",San Francisco CA,
