name,website,stage,focus_areas,location,check_size
1517 Fund,https://www.1517fund.com,Pre-Seed Seed,"Education Deep Tech",San Francisco CA,
2am VC,https://www.2am.vc,Seed Series A,"Consumer SaaS",San Francisco CA,
2M Companies,https://www.2mcompanies.com,Seed Series A,"Enterprise SaaS",Austin TX,
22HBG,https://22hbg.com,Seed,"Climate Deep Tech",New York NY,
3one4 Capital,https://3one4.com,Seed Series A,"Enterprise SaaS AI",Bangalore India,
406 Ventures,https://www.406ventures.com,Series A Series B,"Enterprise SaaS",Boston MA,
415 Capital,https://415capital.com,Series A Series B,"SaaS Enterprise",Munich Germany,
500 Startups,https://500.co,Seed,"Sector Agnostic",San Francisco CA,
51 Ventures,https://51ventures.io,Pre-Seed Seed,"Fintech",London UK,
645 Ventures,https://645ventures.com,Seed Series A,"AI SaaS Enterprise",New York NY,
7percent Ventures,https://7percent.co,Seed,"Enterprise SaaS",San Francisco CA,
83North,https://www.83north.com,Series A Series B,"Enterprise SaaS",London UK Tel Aviv Israel,
9Yards Capital,https://9yardscapital.com,Series A,"AI ML Enterprise",New York NY,
a]ventures,https://www.a-ventures.com,Pre-Seed Seed,"Sector Agnostic",Los Angeles CA,
Abingworth,https://www.abingworth.com,Series A Series B,"Biotech Healthtech",London UK Boston MA,
Act One Ventures,https://www.actoneventures.com,Pre-Seed Seed,"Consumer Enterprise",Los Angeles CA,
Activate Capital,https://www.activatecap.com,Series A,"Climate Sustainability",New York NY,
Addition,https://www.addition.com,Growth,"Technology",New York NY,
Advancit Capital,https://www.advancitcapital.com,Seed Series A,"Media Consumer",New York NY,
Alpine Investors,https://alpineinvestors.com,Growth,"Software Services",San Francisco CA,
Altai Ventures,https://altaiventures.com,Seed Series A,"Fintech Enterprise",Miami FL,
Altos Ventures,https://www.altosventures.com,Seed Series A Series B,"Enterprise SaaS",Menlo Park CA,
Alumni Ventures,https://www.av.vc,Seed Series A,"Sector Agnostic",Manchester NH,
Amadeus Capital Partners,https://www.amadeuscapital.com,Series A Series B,"Deep Tech Enterprise",London UK,
Ambac Capital,https://www.ambaccapital.com,Seed Series A,"Fintech",New York NY,
Amplo,https://www.amplo.vc,Seed,"Impact Social",San Francisco CA,
Andreata Capital,https://www.andreatacapital.com,Seed Series A,"Enterprise AI",New York NY,
Angular Ventures,https://www.angularventures.com,Pre-Seed Seed,"Deep Tech Enterprise",London UK,
Anthemis Group,https://www.anthemis.com,Seed Series A,"Fintech Insurtech",New York NY London UK,
Aperiam Ventures,https://www.aperiamventures.com,Pre-Seed Seed,"Sector Agnostic",New York NY,
Apex Venture Partners,https://www.apexvp.com,Seed Series A,"Enterprise SaaS",Chicago IL,
Apollo Projects,https://www.apolloprojects.com,Pre-Seed Seed,"Deep Tech",London UK,
AppWorks,https://appworks.tw,Seed Series A,"AI Blockchain",Taipei Taiwan,
Archangel Ventures,https://archangelsventures.com,Seed,"Enterprise",San Francisco CA,
Argand Partners,https://www.argandpartners.com,Growth,"Enterprise Software",New York NY,
AVG Ventures,https://avg.vc,Pre-Seed Seed,"Enterprise SaaS AI",New York NY,
Avid Ventures,https://www.avidventures.com,Seed Series A,"Fintech SaaS",New York NY,
